# p_696_57, p_706_73,p_738_45,p_750_42, p_751_52, p_763_55, p_772_44, p_794_90, p_800_70, p_801_57, p_810_43,p_811_58, p_826_49, p_840_90, p_842_53, p_852_21, p_912_33, p_922_48,p_965_80, Ion Density (1/m3), Electron Density (1/m3),Electron Temperature (eV),Pressure Upstream (Torr),Pressure Downstream (mTorr), Plasma Power (W),fit10, fit11, fit12, fit13, fit14, fit15,H2_Flow_Rate (sccm), He_Flow_Rate,Argon Flow Rate (sccm)
0.084254993,0.113688153,0.147916194,0.294357759,0.206812335,0.294868629,0.154893135,0.135816631,0.158577368,0.258638186,0.163341615,0.856618939,0.098510067,0.187339395,0.300199141,0.114421377,0.263235075,0.096519618,0.104641168,8.94E+16,6.86E+16,3.929685494,0.52,60.2,80,0.11835065,0.442610505,0.480214859,0.661599169,1.662610281,6.581660146,3,0,70
0.116712916,0.158055677,0.198808233,0.340987439,0.261080103,0.450529181,0.22004807,0.203177711,0.234372607,0.374825427,0.245172338,1.48669951,0.155060015,0.279754004,0.477211125,0.180377595,0.395875289,0.141321113,0.162235972,4.33E+16,4.85E+16,3.236784757,0.61,55.1,70,0.175021328,0.485025907,0.477446217,0.683430577,1.889203668,6.214149739,3,0,90
0.087442448,0.113663716,0.146863982,0.282996554,0.199647112,0.321060988,0.166808373,0.14600135,0.169120505,0.262735978,0.187339314,0.950376535,0.117285679,0.230316466,0.362011114,0.139798684,0.306718454,0.101516267,0.125446787,6.57E+16,3.44E+16,3.141255388,0.61,85,75,0.384850379,0.625738291,1.267759178,0.733155032,2.058942581,6.163020394,3,0,90
0.179931845,0.264943969,0.30611511,0.388635898,0.339245407,0.685068799,0.333128583,0.316498551,0.332316777,0.557824821,0.350628865,2.116368033,0.215524947,0.397202133,0.685916773,0.259440276,0.592732151,0.181991143,0.206275271,8.95E+16,1.41E+17,2.97912881,0.61,55.1,108,0.313588862,0.588414584,0.691518579,0.663060134,1.533706639,4.933723701,3,0,90
0.180969413,0.236749765,0.314581243,0.631637178,0.464628272,0.714956136,0.326571518,0.303237731,0.376373924,0.564084056,0.341463731,2.060688383,0.195752239,0.330482632,0.613392234,0.222662156,0.564891826,0.205587728,0.22700713,1.09E+17,7.74E+16,3.672408914,0.52,28.7,80,0.015794527,0.318206971,0.029990421,0.563824767,1.32264127,5.409418754,3,0,70
0.140225334,0.21335294,0.259030582,0.361157405,0.285591998,0.546435951,0.273071838,0.277464005,0.286733788,0.480582885,0.300346411,1.62295183,0.19045502,0.37898487,0.616043816,0.237290262,0.49080121,0.159700201,0.185989291,8.79E+16,1.08E+17,3.028123819,0.52,80,115,0.334654968,0.597594164,0.891073432,0.710168697,1.752864158,5.429932086,3,0,70
0.096877146,0.139260406,0.16749832,0.247439009,0.207560762,0.383286991,0.186588918,0.173228549,0.196043158,0.313823462,0.197481968,1.251883711,0.125025021,0.216705359,0.400306046,0.151900054,0.325394815,0.114417449,0.137466162,6.77E+16,9.61E+16,3.078290365,0.61,36.5,90,0.13291946,0.454748774,0.236166449,0.627922738,1.483349192,5.054001874,3,0,90
0.092111626,0.121809863,0.138801329,0.326112849,0.23363474,0.323371166,0.169742685,0.141978455,0.166655871,0.293492964,0.187096004,1.10491393,0.117340206,0.206499478,0.340315669,0.129280428,0.325061017,0.113712118,0.12462563,2.65E+16,3.17E+16,3.30948174,0.61,45,60,0.088287189,0.411315723,0.236389596,0.68164525,1.823534801,6.228750508,3,0,90
0.114934991,0.146283677,0.208348241,0.548925699,0.34839299,0.454713829,0.218909568,0.192951669,0.239439109,0.361136089,0.260293235,1.277135235,0.152168254,0.275169998,0.480292684,0.173553649,0.399029977,0.150069364,0.165469675,4.99E+16,3.47E+16,3.926532015,0.52,50.3,60,0.087928783,0.411186106,0.368192766,0.663085311,1.86863627,7.276246716,3,0,70
0.04931564,0.073982771,0.097595431,0.178103397,0.127066827,0.203210745,0.104604215,0.103469888,0.112578461,0.176573899,0.117016108,0.559297887,0.076900207,0.147662986,0.238840601,0.092059573,0.192489797,0.067335686,0.077865214,4.37E+16,4.12E+16,3.120734051,0.52,90.5,90,0.446535452,0.673151361,1.508293979,0.739922366,1.982443678,5.957582788,3,0,70
